"Name","State","Notes","User","Tags","Created","Runtime","Sweep","_artifact_callback","_callback","_items._artifact_callback","_items._callback","_items._items.activation","_items._items.bc_type","_items._items.iterations","_items._items.learning_rates","_items._items.loss_type","_items._items.n_layers","_items._items.net_type","_items._items.num_boundary","_items._items.num_domain","_items._items.optimizers","_items._items.size_layers","_items._items.train_distribution","_items._settings","_items._users_cnt","_items.activation","_items.bc_type","_items.iterations","_items.learning_rates","_items.loss_type","_items.n_layers","_items.net_type","_items.num_boundary","_items.num_domain","_items.num_samples","_items.optimizers","_items.size_layers","_items.train_distribution","_settings","_users_cnt","activation","bc_type","iterations","learning_rate","learning_rates","loss_type","n_layers","net_type","num_boundary","num_domain","num_sample","num_samples","optimizer","optimizers","size_layers","train_distribution","accuracy_metric","loss_test","loss_train","steps"
"vibrant-oath-1165","finished","-","damien-bonnet","","2023-05-16T00:08:39.000Z","1504","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","","[0.001,null]","pde","3","Simplified_NN","","","","100","","[""adam"",""L-BFGS""]","100","Hammersley","0.000016737245459808037","0.000006732372639817186","0.000007828750312910415","13000"
"woven-sweep-99","finished","-","damien-bonnet","","2023-03-29T03:31:32.000Z","11151","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","9","USnet","","","","75","[""adam"",""L-BFGS""]","","75","Hammersley","0.004265626426786184","0.000012166816304670648","0.000014760831618332304","13000"
"noble-sweep-280","finished","-","damien-bonnet","","2023-03-30T21:19:58.000Z","5268","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","7","USnet","","","","100","[""adam"",""L-BFGS""]","","50","Hammersley","0.004565502051264048","0.000015655416063964367","0.00001904921737150289","13000"
"sweet-sweep-238","finished","-","damien-bonnet","","2023-03-30T14:29:00.000Z","5470","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","7","USnet","","","","75","[""adam"",""L-BFGS""]","","75","Hammersley","0.0040146224200725555","0.000010244572877127212","0.000012906173651572315","13000"
"pious-sweep-200","finished","-","damien-bonnet","","2023-03-30T07:42:19.000Z","6587","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","7","USnet","","","","100","[""adam"",""L-BFGS""]","","100","Hammersley","0.004031921736896038","0.000007648343853361439","0.00000965480285231024","13000"
"deft-sweep-109","finished","-","damien-bonnet","","2023-03-29T05:22:54.000Z","10675","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","8","USnet","","","","50","[""adam"",""L-BFGS""]","","75","Hammersley","0.003969445824623108","0.00000935245134314755","0.000011202272617083509","13000"
"pretty-sweep-79","finished","-","damien-bonnet","","2023-03-28T13:19:35.000Z","10804","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","tanh","hard","[3000,null]","[0.001,null]","","pde","4","USnet","","","","50","[""adam"",""L-BFGS""]","","50","Hammersley","0.005363206844776869","0.000022914473447599448","0.00002716909693845082","13000"
"driven-cherry-1125","finished","-","damien-bonnet","","2023-05-11T16:33:38.000Z","1208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","","[0.001,null]","pde","3","USnet","100","10000","","100","","[""adam"",""L-BFGS""]","100","Hammersley","0.003581601195037365","0.000007163374903029762","0.000008887609510566108","13000"
"daily-dragon-1098","finished","-","damien-bonnet","","2023-05-10T10:23:34.000Z","1234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","","[0.001,null]","pde","3","USnet","100","10000","","100","","[""adam"",""L-BFGS""]","100","Hammersley","0.003750158939510584","0.000005335311925591668","0.000006902734639879782","13000"
"clear-sweep-206","finished","-","damien-bonnet","","2023-03-30T09:30:56.000Z","5703","hsnp1x74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sigmoid","hard","[3000,null]","[0.001,null]","","pde","4","USnet","","","","100","[""adam"",""L-BFGS""]","","100","Hammersley","0.0035822216887027025","0.000009074130502995104","0.000011471030120446812","13000"
